Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome
54.0,50.0,70.7,41.0,100.0,1.0,49.8,205.0,100.0,1.0,60.3,126.0,30.0,10.0,35.3,17.0,0.0,1.0,0.0,1.0,True
55.6,9.0,66.7,12.0,49.2,61.0,56.2,89.0,54.5,505.0,56.7,127.0,0.0,1.0,59.8,117.0,58.7,75.0,28.6,7.0,True
48.2,83.0,57.1,7.0,50.7,952.0,0.0,1.0,25.0,4.0,61.1,18.0,,,59.8,117.0,58.7,75.0,53.9,332.0,False
100.0,1.0,71.4,7.0,59.8,117.0,58.7,75.0,,,33.3,9.0,50.0,16.0,46.2,93.0,50.0,8.0,40.0,10.0,True
46.4,28.0,,,,,60.6,104.0,0.0,1.0,53.8,13.0,,,59.8,117.0,58.7,75.0,42.6,54.0,False
50.0,4.0,62.5,160.0,35.3,17.0,51.1,47.0,59.4,345.0,0.0,1.0,59.5,301.0,52.6,114.0,44.4,9.0,55.1,69.0,True
65.0,20.0,53.8,26.0,57.1,177.0,59.1,88.0,44.4,9.0,54.7,95.0,77.8,9.0,59.8,117.0,28.6,7.0,59.6,104.0,False
55.2,67.0,57.9,354.0,59.8,117.0,58.7,75.0,57.9,57.0,0.0,1.0,,,43.9,41.0,36.4,11.0,,,True
52.6,38.0,,,59.8,117.0,58.7,75.0,66.7,3.0,40.0,5.0,50.0,4.0,51.3,600.0,50.0,6.0,60.0,15.0,True
54.5,88.0,,,59.8,117.0,58.7,75.0,51.2,902.0,50.0,2.0,71.4,7.0,56.0,50.0,68.2,22.0,59.3,27.0,True
100.0,1.0,53.3,15.0,40.4,52.0,54.5,242.0,57.6,59.0,51.7,60.0,50.7,71.0,59.8,117.0,60.0,5.0,0.0,1.0,True
51.5,1024.0,53.5,409.0,44.8,29.0,50.0,10.0,50.0,22.0,52.8,72.0,52.4,21.0,59.8,117.0,52.7,222.0,56.8,37.0,False
53.3,287.0,100.0,1.0,59.8,117.0,58.7,75.0,45.5,11.0,51.9,79.0,50.0,66.0,70.0,10.0,65.4,52.0,53.8,93.0,True
35.3,17.0,52.6,19.0,58.4,161.0,60.0,5.0,56.3,497.0,20.0,5.0,59.7,390.0,47.9,359.0,66.7,15.0,52.7,419.0,True
56.5,184.0,41.4,29.0,59.8,117.0,50.0,6.0,50.0,2.0,25.0,12.0,66.7,3.0,0.0,1.0,45.5,22.0,27.3,11.0,True
70.0,10.0,55.6,349.0,59.8,117.0,58.7,75.0,100.0,2.0,57.4,68.0,60.0,5.0,55.6,27.0,55.6,81.0,50.0,6.0,True
100.0,1.0,57.6,99.0,59.8,117.0,58.7,75.0,100.0,1.0,33.3,3.0,,,0.0,1.0,40.0,10.0,,,True
47.6,21.0,0.0,2.0,0.0,2.0,58.7,75.0,57.1,7.0,75.0,8.0,66.7,12.0,50.0,14.0,66.7,3.0,62.5,32.0,False
50.0,8.0,64.4,59.0,59.8,117.0,50.0,6.0,53.4,247.0,66.7,3.0,52.1,511.0,33.3,6.0,50.0,2.0,28.6,7.0,True
