,Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome,blue_winrates_avg,red_winrates_avg,avg_win_dif,blue_games_avg,red_games_avg
3048,53.1,113.0,20.0,5.0,56.7,141.0,57.1,70.0,45.0,40.0,60.2,176.0,37.5,24.0,50.0,34.0,44.4,108.0,100.0,2.0,False,46.38,58.42,-12.04,46.38,58.42
3049,57.1,14.0,52.2,46.0,56.0,268.0,25.0,4.0,61.5,26.0,40.0,5.0,52.9,380.0,59.2,120.0,60.0,5.0,53.6,28.0,False,50.36,53.14,-2.780000000000001,50.36,53.14
3050,53.7,460.0,74.5,51.0,100.0,1.0,66.7,3.0,50.0,10.0,0.0,1.0,52.2,46.0,53.8,277.0,42.9,7.0,72.4,29.0,True,68.98,44.26,24.720000000000006,68.98,44.26
3051,36.4,11.0,70.6,119.0,71.4,21.0,40.0,5.0,59.8,117.0,0.0,2.0,61.3,111.0,,,52.9,121.0,48.2,164.0,True,55.64,40.6,15.04,55.64,40.6
3052,83.3,6.0,57.1,91.0,54.2,391.0,53.1,211.0,43.4,129.0,54.2,59.0,71.3,87.0,40.7,54.0,59.7,67.0,72.4,29.0,False,58.22,59.66,-1.4399999999999977,58.22,59.66
3053,53.3,60.0,53.8,169.0,35.7,14.0,64.7,17.0,,,50.0,6.0,50.0,18.0,37.5,8.0,60.0,5.0,0.0,1.0,True,51.88,39.5,12.380000000000003,51.88,39.5
3054,55.6,9.0,20.0,5.0,,,40.0,125.0,55.9,34.0,52.3,285.0,49.5,93.0,33.3,18.0,50.0,4.0,100.0,1.0,False,42.88,57.02,-14.14,42.88,57.02
3055,35.7,14.0,55.7,61.0,0.0,3.0,50.0,16.0,50.0,12.0,,,52.2,46.0,77.8,9.0,,,63.2,38.0,False,38.28,64.4,-26.120000000000005,38.28,64.4
3056,,,60.0,10.0,56.1,82.0,37.8,90.0,70.0,10.0,54.4,423.0,51.5,1568.0,,,,,0.0,5.0,True,55.97,35.3,20.67,55.97,35.3
3057,52.9,85.0,57.9,361.0,,,37.8,90.0,60.0,15.0,54.4,423.0,52.2,46.0,73.3,15.0,58.1,31.0,65.3,49.0,False,52.15,60.66,-8.509999999999998,52.15,60.66
3058,100.0,1.0,50.0,70.0,45.8,72.0,60.0,5.0,44.4,45.0,56.1,524.0,48.8,240.0,56.1,98.0,,,57.3,234.0,True,60.04,54.58,5.460000000000001,60.04,54.58
3059,60.0,10.0,45.8,24.0,49.5,103.0,55.0,169.0,55.2,145.0,61.0,249.0,60.0,10.0,57.3,124.0,100.0,1.0,46.2,26.0,False,53.1,64.9,-11.800000000000004,53.1,64.9
3060,54.1,434.0,57.9,271.0,60.0,35.0,0.0,1.0,52.3,86.0,54.8,847.0,56.3,16.0,54.1,653.0,60.0,45.0,61.6,159.0,False,44.86,57.36,-12.5,44.86,57.36
3061,55.8,52.0,33.3,3.0,72.7,187.0,52.8,125.0,55.7,88.0,20.0,10.0,0.0,2.0,66.7,3.0,60.0,25.0,51.4,140.0,True,54.06,39.62,14.440000000000005,54.06,39.62
3062,0.0,2.0,56.3,16.0,52.4,401.0,36.4,22.0,54.9,532.0,50.0,6.0,,,50.8,65.0,48.0,25.0,48.7,76.0,False,40.0,49.38,-9.380000000000003,40.0,49.38
3063,,,53.6,56.0,37.5,16.0,33.3,3.0,48.4,64.0,56.8,37.0,100.0,1.0,51.9,493.0,58.7,126.0,58.8,17.0,False,43.2,65.24,-22.039999999999992,43.2,65.24
3064,43.8,48.0,71.3,87.0,100.0,1.0,100.0,2.0,53.7,149.0,0.0,1.0,54.4,252.0,52.3,151.0,52.2,23.0,59.0,100.0,True,73.76,43.58,30.180000000000007,73.76,43.58
3065,57.9,38.0,35.7,14.0,74.5,47.0,57.1,35.0,69.2,13.0,0.0,3.0,44.4,18.0,59.7,62.0,50.0,10.0,61.7,167.0,True,58.88,43.16,15.720000000000006,58.88,43.16
3066,40.0,5.0,50.0,22.0,55.4,325.0,55.2,125.0,,,65.0,20.0,56.3,16.0,56.0,50.0,47.0,66.0,52.3,44.0,True,50.15,55.32,-5.170000000000002,50.15,55.32
3067,56.5,402.0,56.3,16.0,54.7,576.0,,,100.0,3.0,52.1,117.0,30.8,26.0,73.9,23.0,0.0,1.0,42.9,7.0,True,66.88,39.94,26.939999999999998,66.88,39.94
3068,57.7,326.0,60.0,5.0,0.0,2.0,56.5,46.0,60.6,160.0,60.8,51.0,60.0,10.0,43.1,65.0,61.1,54.0,100.0,3.0,False,46.96,65.0,-18.04,46.96,65.0
3069,,,59.3,91.0,58.1,530.0,77.8,9.0,54.5,235.0,,,44.4,18.0,56.7,60.0,20.0,5.0,59.8,117.0,True,62.42,45.22,17.200000000000003,62.42,45.22
3070,63.8,47.0,52.2,46.0,46.4,56.0,46.2,13.0,72.4,29.0,68.8,16.0,,,100.0,1.0,56.9,65.0,56.7,30.0,False,56.2,70.6,-14.399999999999991,56.2,70.6
3071,61.0,41.0,52.2,46.0,52.2,46.0,28.6,21.0,43.5,23.0,49.6,230.0,57.4,455.0,,,47.1,34.0,58.3,307.0,False,47.5,53.1,-5.600000000000001,47.5,53.1
3072,66.7,3.0,52.2,46.0,51.9,54.0,51.4,35.0,,,50.0,2.0,55.0,191.0,50.0,34.0,53.3,120.0,56.7,60.0,True,55.55,53.0,2.549999999999997,55.55,53.0
3073,49.2,918.0,45.5,11.0,63.6,22.0,52.9,51.0,50.0,10.0,58.1,403.0,56.3,16.0,52.0,281.0,50.0,4.0,0.0,1.0,True,52.24,43.28,8.96,52.24,43.28
3074,42.9,49.0,42.9,7.0,57.9,178.0,37.5,8.0,55.6,18.0,100.0,3.0,56.3,16.0,56.5,23.0,40.0,5.0,58.7,172.0,False,47.36,62.3,-14.939999999999998,47.36,62.3
3075,49.2,240.0,60.0,10.0,100.0,4.0,43.3,180.0,60.2,113.0,53.1,256.0,40.0,40.0,50.0,14.0,0.0,3.0,0.0,3.0,True,62.54,28.62,33.92,62.54,28.62
3076,28.6,7.0,71.3,87.0,51.4,290.0,50.0,12.0,39.2,51.0,68.1,91.0,62.0,631.0,41.7,12.0,75.0,24.0,55.4,437.0,False,48.1,60.44,-12.339999999999996,48.1,60.44
3077,75.0,24.0,38.5,26.0,54.6,295.0,36.4,22.0,53.8,13.0,58.0,207.0,44.4,18.0,,,43.3,180.0,45.7,35.0,True,51.66,47.85,3.809999999999995,51.66,47.85
3078,45.5,11.0,52.2,46.0,59.2,120.0,59.8,276.0,66.7,6.0,53.3,45.0,0.0,1.0,52.8,1153.0,,,37.5,8.0,True,56.68,35.9,20.78,56.68,35.9
