,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
2811,"['Amosaure XD', 'Illaoi']","['ChainReAct', 'Poppy']","['SickAss', 'Zoe']","['ZoureQ Junior', 'Samira']","['Smirglpapir', 'Senna']","['Champ', 'Renekton']","['DPS Agonys', 'Kayn']","['MBLMJ', 'Kassadin']","['Nydlov', 'Jhin']","['Kaiju patriarch', 'Zac']",True
2812,"['Champ', 'Illaoi']","['Uawnaddya', 'Hecarim']","['liiIIllIIlliiIll', 'Kayn']","['PMU Zaki ', 'Velkoz']","['LC Heartfilia', 'Lux']","['noblesní dáma', 'KSante']","['Shico ll', 'Taliyah']","['Walteř', 'Vex']","['Kargic', 'Jinx']","['coooola', 'Nautilus']",False
2813,"['woroxer', 'Jax']","['przepraszaam', 'Hecarim']","['NM Cowlibob', 'Swain']","['AK LyreZ', 'Jinx']","['heIIodingdong', 'Karma']","['Champ', 'Illaoi']","['Héraclèss', 'XinZhao']","['CRTN BEAST', 'Syndra']","['Balkrai', 'Varus']","['Maharbal300', 'Brand']",True
2814,"['hailext', 'Vayne']","['ŠZËW JUNGLE', 'Rammus']","['Heavenish', 'AurelionSol']","['Exnom', 'Varus']","['GeneralDelta', 'Blitzcrank']","['Champ', 'Camille']","['Kymori', 'Kindred']","['ESP Olley ', 'Taliyah']","['Monteglol', 'Draven']","['TheycallmeBaymax', 'Thresh']",False
2815,"['Champ', 'Renekton']","['Wuknog', 'MonkeyKing']","['Destinyyyyy', 'Fizz']","['Exnom', 'Draven']","['Dimaw', 'Heimerdinger']","['Deeezyy99', 'Warwick']","['dsffklkj', 'Kayn']","['impactfull role', 'Akali']","['Henzitacyb', 'TwistedFate']","['Yoshida Yuko', 'Xayah']",True
2816,"['Gab Urger', 'Olaf']","['LFT Xynthias', 'Jayce']","['Ekko things', 'Katarina']","['Kisby', 'MissFortune']","['y0Awayy', 'Rakan']","['Champ', 'Illaoi']","['georgelin', 'Shaco']","['pysroolbu', 'Yasuo']","['Sarevoll', 'Twitch']","['Aglouhglouh', 'FiddleSticks']",False
2817,"['jus de fion', 'Singed']","['JungleOnJoystick', 'LeeSin']","['pysroolbu', 'Yasuo']","['Roulmi', 'Caitlyn']","['Junglers Dóg', 'Zyra']","['Champ', 'Illaoi']","['Rank One Euw ', 'Elise']","['Umbra Mortís', 'Zed']","['Hewse', 'Varus']","['RayanGA', 'Nautilus']",True
2818,"['MemedaOvO', 'Aatrox']","['YuRun', 'Zac']","['Alex Tinderman', 'Kennen']","['Mandelbrot', 'Jhin']","['PALMARIUS', 'Xerath']","['Champ', 'Yasuo']","['Dyron', 'Kindred']","['pocket pig', 'Zoe']","['A7XX3CIMU2W9', 'Ezreal']","['Xingane', 'Soraka']",False
2819,"['Der Sebo aus NRW', 'Sion']","['360Nurse', 'Rengar']","['Kickbox and Muay', 'Ahri']","['Mucho Nombre', 'Ezreal']","['Raizoh', 'Sona']","['Champ', 'Yasuo']","['aetern0', 'Lillia']","['SdnegeL fo', 'Zed']","['AwetiS', 'Varus']","['welcome to Forks', 'Zyra']",False
2820,"['TabtorXD', 'Jax']","['kelyur', 'Khazix']","['Snycall', 'Yone']","['Killerbit', 'Kaisa']","['HONEY IM HOME', 'Xerath']","['Champ', 'Illaoi']","['Ernallewel', 'LeeSin']","['Cleast', 'Karthus']","['Tsop', 'Ashe']","['OTPJANNA FULL AP', 'Janna']",False
2821,"['Champ', 'Renekton']","['kvnzuok', 'Hecarim']","['Efﬂorescence', 'Vladimir']","['Dasuky', 'Samira']","['Glimmis', 'Pyke']","['Dawid Wójcik', 'Rengar']","['slowq leblanc', 'LeeSin']","['Dagur', 'Sylas']","['SlaveKnightTayme', 'Lucian']","['OνO', 'Nami']",False
2822,"['Skewdy', 'Zeri']","['SkiizeuroX', 'Hecarim']","['NineTails Syndra', 'Kassadin']","['LFT LPLOL', 'Lucian']","['Shu0ChangZhiWang', 'Yuumi']","['Champ', 'Renekton']","['Leadershiρ', 'Graves']","['xTrytanx', 'Vayne']","['Dukes Nukes', 'Samira']","['Fredo le chauve', 'Nautilus']",True
2823,"['Champ', 'Renekton']","['St00ne', 'Khazix']","['NortoneT', 'Orianna']","['slurping atm', 'Twitch']","['WTCB Retburstjk', 'Pyke']","['Sonarra', 'Garen']","['Cmplx PTSD', 'Evelynn']","['Cheap Love', 'Galio']","['Warž', 'Caitlyn']","['Cendei', 'Elise']",True
2824,"['Champ', 'Renekton']","['Dulnec', 'Evelynn']","['EloHellAdventure', 'TwistedFate']","['ÄNGLAVAKT', 'Draven']","['LuxAeterna86', 'Sona']","['kebbler244 ttv', 'Darius']","['OmulFinn Fangirl', 'Khazix']","['Alisooor', 'Malzahar']","['BindingDead', 'Sivir']","['justgab', 'Pyke']",True
