,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre
112,EUW1_5681643678,EUW1_5723362984,EUW1_5783726485,EUW1_5805765332,EUW1_5893232794,EUW1_5927034662,EUW1_5970489533,EUW1_6004540325,EUW1_6042616361,EUW1_6109678552,EUW1_6141812644
113,EUW1_5679174134,EUW1_5723091827,EUW1_5783750595,EUW1_5804823565,EUW1_5875414952,EUW1_5926500611,EUW1_5970446358,EUW1_6004525868,EUW1_6042329350,EUW1_6109724289,EUW1_6141655977
114,EUW1_5679170642,EUW1_5722991784,EUW1_5783636138,EUW1_5804758621,EUW1_5875342439,EUW1_5926149594,EUW1_5969721268,EUW1_6004234355,EUW1_6042099262,EUW1_6109511841,EUW1_6141586389
115,EUW1_5678676099,EUW1_5722846684,EUW1_5782321574,EUW1_5804691219,EUW1_5875255248,EUW1_5926144396,EUW1_5968613606,EUW1_6004251441,EUW1_6042106393,EUW1_6109489867,EUW1_6141584858
116,EUW1_5677107191,EUW1_5722830671,EUW1_5782290811,EUW1_5804576899,EUW1_5872267902,EUW1_5925955038,EUW1_5968572741,EUW1_6004211057,EUW1_6042082047,EUW1_6109236347,EUW1_6141541720
117,EUW1_5673205398,EUW1_5722794926,EUW1_5782209814,EUW1_5804491511,EUW1_5872273148,EUW1_5925863786,EUW1_5968469949,EUW1_6004176548,EUW1_6083575332,EUW1_6109051728,EUW1_6141485674
118,EUW1_5673192709,EUW1_5722781245,EUW1_5782247750,EUW1_5803936239,EUW1_5872138482,EUW1_5925739111,EUW1_5968537678,EUW1_6004112255,EUW1_6083197885,EUW1_6109074020,EUW1_6140776576
119,EUW1_5669397832,EUW1_5722077543,EUW1_5781061632,EUW1_5803339883,EUW1_5870429023,EUW1_5925697554,EUW1_5968505521,EUW1_6003407387,EUW1_6083223872,EUW1_6108957598,EUW1_6140721422
120,EUW1_5669420672,EUW1_5721635930,EUW1_5780969767,EUW1_5845351009,EUW1_5870286174,EUW1_5925685701,EUW1_5968167453,EUW1_6003314168,EUW1_6083071019,EUW1_6108881039,EUW1_6139759068
121,EUW1_5669313829,EUW1_5721600988,EUW1_5780958204,EUW1_5845308795,EUW1_5870240099,EUW1_5925723333,EUW1_5968191987,EUW1_6003178585,EUW1_6082995910,EUW1_6108796367,EUW1_6139576777
122,EUW1_5668952907,EUW1_5719671934,EUW1_5781014093,EUW1_5833263821,EUW1_5867672540,EUW1_5925589098,EUW1_5968024280,EUW1_6003192894,EUW1_6081940018,EUW1_6108700718,EUW1_6138996848
